"36","415916483","Smith","Gabriel","UG","4","FR","OT93","A-","RE","gabriel.j.smith1@fakeu.edu"
"37","363752416","Foster","Zoey","UG","4","FR","OT35","B-","RE","zoey.o.foster@fakeu.edu"
"38","102265449","Meyer","Daisy","UG","4","FR","OT20","B-","RE","daisy.j.meyer@fakeu.edu"
"39","211669811","Potter","Austin","UG","4","FR","DEF1","B+","RE","austin.d.potter@fakeu.edu"
"40","252462802","Lyons","Alejandro","UG","4","FR","OT39","B","RE","alejandro.v.lyons@fakeu.edu"
"41","580646504","Robertson","Anthony","UG","4","FR","O223","B-","RE","anthony.c.robertson@fakeu.edu"
"42","894262214","Walsh","Christopher","UG","4","SO","OT46","A+","RE","christopher.j.walsh@fakeu.edu"
"43","586442645","Peterson","Sophia","UG","4","FR","OT35","A","RE","sophia.a.peterson@fakeu.edu"
"44","620024318","Berry","Gabriella","UG","4","FR","O282","A","RE","gabriella.c.berry@fakeu.edu"
"45","697101275","Vinson","Gavin","UG","4","SO","OT20","C-","RE","gavin.m.vinson@fakeu.edu"
"46","204852653","Grant","Samantha","UG","4","FR","OT26","F","RE","samantha.a.grant1@fakeu.edu"
"47","145631059","Deleon","Vanessa","UG","4","SO","OTH8","B","RE","vanessa.j.deleon@fakeu.edu"
"48","179611076","Gibson","Daniel","UG","4","FR","OT10","B","RE","daniel.a.gibson@fakeu.edu"
"49","801369934","Cobb","Melissa","UG","4","SR","O224","A","RE","melissa.l.cobb@fakeu.edu"
"50","371384437","Soto","Landon","UG","4","JR","OTH8","B-","RE","landon.g.soto@fakeu.edu"
"51","460129035","Parsons","Kaylee","UG","4","FR","OT64","C+","RE","kaylee.d.parsons@fakeu.edu"
"52","995879056","Williams","Daniel","UG","4","SO","ABC1","A","RE","daniel.a.williams1@fakeu.edu"
"53","267184839","Roberts","Jonathan","UG","4","SR","O238","C","RE","jonathan.i.roberts@fakeu.edu"
"54","767236283","Thompson","Sophia","UG","4","FR","O225","A-","RE","sophia.a.thompson@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"59304","201201","ABC","105","5","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Adams, Sofia A.","Discussion","R","8:00 AM - 8:50 AM","MB3","1066"
"","Lecture","MWF","10:00 AM - 10:50 AM","LH3","58"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","172958950","Campbell","Leah","UG","4","SO","ABC2","A-","RE","leah.e.campbell@fakeu.edu"
"2","166136380","Glover","Nathan","UG","4","FR","ABC2","A-","RE","nathan.j.glover@fakeu.edu"
"3","837070246","King","Giovanni","UG","4","SR","OT62","A-","RE","giovanni.v.king@fakeu.edu"
"4","519344791","Vaughan","Jesse","UG","4","SR","O224","B","RE","jesse.s.vaughan@fakeu.edu"
"5","118941640","Evans","Lillian","UG","4","JR","O224","B+","RE","lillian.m.evans@fakeu.edu"
"6","209886768","Turner","Grace","UG","4","JR","O223","D","RE","grace.s.turner@fakeu.edu"
"7","900227253","Wells","Jordan","UG","4","SO","O174","A+","RE","jordan.s.wells@fakeu.edu"
"8","116321598","Hoffman","Victor","UG","4","SO","O174","D-","RE","victor.d.hoffman@fakeu.edu"
"9","394284184","Hancock","Xavier","UG","4","FR","OT39","B+","RE","xavier.a.hancock@fakeu.edu"
"10","489056508","Bradshaw","Dylan","UG","4","FR","OT39","A","RE","dylan.i.bradshaw@fakeu.edu"
"11","956908379","Huff","Emily","UG","4","SO","OT35","A-","RE","emily.e.huff@fakeu.edu"
"12","444411995","Young","Tyler","UG","4","FR","O223","C-","RE","tyler.z.young@fakeu.edu"
"13","810794842","Boyd","Abigail","UG","4","FR","OT35","A","RE","abigail.i.boyd@fakeu.edu"
"14","465672089","Byrd","Adrian","UG","4","FR","OT68","A-","RE","adrian.k.byrd@fakeu.edu"
"15","992340394","Mcdaniel","Andrea","UG","4","FR","O223","A+","RE","andrea.a.mcdaniel@fakeu.edu"
"16","662744092","Payne","Elias","UG","4","SO","O237","B","RE","elias.v.payne@fakeu.edu"
"17","703079573","Marshall","Mia","UG","4","FR","OT16","C","RE","mia.d.marshall@fakeu.edu"
"18","771442271","Moses","Aaron","UG","4","FR","OT35","A+","RE","aaron.a.moses@fakeu.edu"
"19","272400425","Richards","Victoria","UG","4","FR","OT54","A","RE","victoria.e.richards@fakeu.edu"
"20","270744486","Martin","Nicholas","UG","4","SO","OT39","A+","RE","nicholas.s.martin@fakeu.edu"
"21","855889787","Hardin","Brianna","UG","4","FR","OT31","C","RE","brianna.e.hardin@fakeu.edu"
"22","883712340","Faulkner","Natalie","UG","4","FR","OT35","B","RE","natalie.i.faulkner@fakeu.edu"
"23","921859694","Wilson","Aiden","UG","4","FR","OT49","B-","RE","aiden.s.wilson@fakeu.edu"
"24","438803005","Wyatt","Abigail","UG","4","SO","O257","A","RE","abigail.h.wyatt@fakeu.edu"
"25","727472018","Morris","Grace","UG","4","FR","OT39","A","RE","grace.r.morris@fakeu.edu"
"26","571512000","Nelson","Carlos","UG","4","FR","OT35","A","RE","carlos.c.nelson@fakeu.edu"
"27","399685959","Lopez","Avery","UG","4","FR","OT35","F","RE","avery.a.lopez@fakeu.edu"
"28","553858474","Walsh","Nicole","UG","4","FR","ABC1","A","RE","nicole.v.walsh@fakeu.edu"
"29","861058186","Poole","Ayden","UG","4","FR","OT20","A","RE","ayden.b.poole@fakeu.edu"
"30","631010804","Fuller","Isabella","UG","4","SO","OT39","A","RE","isabella.s.fuller@fakeu.edu"
"31","893862836","James","Sebastian","UG","4","JR","O240","A-","RE","sebastian.b.james@fakeu.edu"
"32","779528863","Hamilton","Dominic","UG","4","FR","OTH7","C+","RE","dominic.s.hamilton@fakeu.edu"
"33","350910845","Wilson","Thomas","UG","4","SO","O225","A","RE","thomas.a.wilson1@fakeu.edu"
"34","615317742","Smith","Adrian","UG","4","FR","OT20","A","RE","adrian.l.smith@fakeu.edu"
"35","120015699","Benton","Jayden","UG","4","FR","OT39","B+","RE","jayden.j.benton@fakeu.edu"
"36","525123233","Benson","Noah","UG","4","SO","OT20","C","RE","noah.i.benson@fakeu.edu"
"37","268320583","Gibson","Aiden","UG","4","FR","OT35","A","RE","aiden.l.gibson@fakeu.edu"
"38","443826874","Reynolds","Jacob","UG","4","FR","OT20","D+","RE","jacob.i.reynolds@fakeu.edu"
"39","759111285","Davis","Elizabeth","UG","4","FR","O223","C-","RE","elizabeth.m.davis@fakeu.edu"
"40","287871407","Kelly","Zachary","UG","4","SO","OT26","C-","RE","zachary.a.kelly@fakeu.edu"
"41","309410818","Gonzalez","Brandon","UG","4","FR","O257","C","RE","brandon.m.gonzalez@fakeu.edu"
"42","698937469","Smith","Jesse","UG","4","FR","O181","A","RE","jesse.i.smith@fakeu.edu"
"43","238036681","Knight","Ethan","UG","4","SO","OT20","B+","RE","ethan.s.knight@fakeu.edu"
"44","209951321","Coleman","Jayden","UG","4","FR","OTH7","A","RE","jayden.a.coleman2@fakeu.edu"
"45","285914125","Pittman","Noah","UG","4","FR","OTH6","B-","RE","noah.a.pittman@fakeu.edu"
"46","956379965","Chapman","James","UG","4","SO","O223","A-","RE","james.a.chapman@fakeu.edu"
"47","247222295","Knowles","Michael","UG","4","FR","O223","A","RE","michael.a.knowles@fakeu.edu"
"48","215261809","Harris","Diego","UG","4","FR","OTH8","A-","RE","diego.j.harris1@fakeu.edu"
"49","385849908","Turner","Mia","UG","4","SO","OT88","C+","RE","mia.c.turner@fakeu.edu"
"50","408409447","Vega","Isabel","UG","4","FR","OTH8","D","RE","isabel.a.vega@fakeu.edu"
"51","603418680","Avery","Aria","UG","4","SO","OT42","A","RE","aria.v.avery@fakeu.edu"
"52","921378382","Snyder","John","UG","4","FR","O238","C-","RE","john.e.snyder@fakeu.edu"
"53","661092969","Shelton","Jeremiah","UG","4","FR","OT26","B-","RE","jeremiah.s.shelton@fakeu.edu"
"54","836011862","Norman","Samuel","UG","4","FR","OT35","C+","RE","samuel.v.norman@fakeu.edu"
"55","476351017","Brown","Aaron","UG","4","FR","OT35","A","RE","aaron.a.brown@fakeu.edu"
"56","965528695","Brown","Gavin","UG","4","SO","O223","A","RE","gavin.n.brown@fakeu.edu"
"57","207582751","Walter","Santiago","UG","4","FR","ABC1","C-","RE","santiago.j.walter@fakeu.edu"
"58","804482781","Kelley","Owen","UG","4","FR","O225","B+","RE","owen.a.kelley@fakeu.edu"
"59","484304680","Holloway","Jack","UG","4","SR","O174","B-","RE","jack.g.holloway@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"44984","201201","ABC","105","6","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Adams, Sofia A.","Lecture","MWF","10:00 AM - 10:50 AM","LH3","58"
"","Discussion","M","4:10 PM - 5:00 PM","MB3","1066"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","840702054","Benton","Robert","UG","4","SO","DEF1","C","RE","robert.c.benton@fakeu.edu"
"2","381011907","Moss","Victor","UG","4","FR","DEF2","B+","RE","victor.n.moss@fakeu.edu"
"3","898588154","Bryan","Anthony","UG","4","SO","DEF1","A","RE","anthony.s.bryan@fakeu.edu"
"4","108707829","Huffman","Jacob","UG","4","FR","DEF1","A","RE","jacob.s.huffman@fakeu.edu"
"5","181295652","Osborne","Isaiah","UG","4","FR","DEF1","D+","RE","isaiah.k.osborne@fakeu.edu"
"6","480844523","Reyes","Aaliyah","UG","4","SO","DEF1","C-","RE","aaliyah.d.reyes@fakeu.edu"
"7","613011956","Hebert","Alexander","UG","4","FR","DEF2","D","RE","alexander.v.hebert@fakeu.edu"
"8","675667803","Chan","Ryan","UG","4","SO","DEF2","C+","RE","ryan.j.chan@fakeu.edu"
"9","847632501","Brown","Dylan","UG","4","SO","DEF2","C-","RE","dylan.e.brown@fakeu.edu"
"10","749547188","Smith","Gael","UG","4","FR","ABC2","A","RE","gael.z.smith@fakeu.edu"
"11","263305292","Green","Jacob","UG","4","SO","ABC1","A-","RE","jacob.a.green@fakeu.edu"
"12","123138699","Smith","Jacob","UG","4","FR","DEF1","C-","RE","jacob.a.smith5@fakeu.edu"
"13","273012678","Kerr","Aubrey","UG","4","SO","DEF1","D","RE","aubrey.m.kerr@fakeu.edu"
"14","688968615","Taylor","Alexander","UG","4","FR","DEF2","A","RE","alexander.s.taylor@fakeu.edu"
"15","926213416","Ward","Mason","UG","4","FR","DEF1","A","RE","mason.g.ward@fakeu.edu"
"16","705198767","Jones","Ximena","UG","4","SO","DEF2","B-","RE","ximena.b.jones@fakeu.edu"
"17","313430565","White","Tyler","UG","4","SR","OT94","B","RE","tyler.s.white@fakeu.edu"
"18","173119746","Washington","Madison","UG","4","SR","O277","A-","RE","madison.n.washington@fakeu.edu"
"19","728607200","Ayala","Natalie","UG","4","SR","OT39","B","RE","natalie.a.ayala@fakeu.edu"
"20","611032659","Gill","Mia","UG","4","SR","O224","B+","RE","mia.a.gill@fakeu.edu"
"21","406073806","Delgado","Sophia","UG","4","SR","O238","A+","RE","sophia.e.delgado@fakeu.edu"
"22","634310520","Washington","Ashley","UG","4","JR","OT39","B-","RE","ashley.a.washington1@fakeu.edu"
"23","873948495","Brown","Genesis","UG","4","JR","O223","B+","RE","genesis.n.brown@fakeu.edu"
"24","502396666","Smith","Nathan","UG","4","JR","DEF1","F","RE","nathan.i.smith@fakeu.edu"
"25","116208029","Hobbs","Maya","UG","4","JR","OT68","A-","RE","maya.b.hobbs@fakeu.edu"
"26","445508216","Adams","Sophia","UG","4","JR","OT39","A","RE","sophia.j.adams1@fakeu.edu"
"27","774331646","Reese","Amy","UG","4","JR","OT39","D-","RE","amy.t.reese@fakeu.edu"
"28","442417054","Williams","Valentina","UG","4","JR","OT13","B+","RE","valentina.j.williams@fakeu.edu"
"29","434513558","Anderson","Angelina","UG","4","SO","OT26","A-","RE","angelina.a.anderson1@fakeu.edu"
"30","854279042","Howard","Layla","UG","4","SO","O238","F","RE","layla.v.howard@fakeu.edu"
"31","849859591","Davis","Jayden","UG","4","JR","O240","C","RE","jayden.n.davis@fakeu.edu"
"32","530335041","Pace","Gavin","UG","4","SO","O224","A","RE","gavin.f.pace@fakeu.edu"
"33","232933831","Gray","Olivia","UG","4","SO","OT21","A","RE","olivia.w.gray@fakeu.edu"
"34","150822766","Parker","Adam","UG","4","JR","DEF1","A","RE","adam.z.parker@fakeu.edu"
"35","902870413","Coffey","Jack","UG","4","JR","DEF1","B","RE","jack.o.coffey@fakeu.edu"
"36","859185568","Hill","Henry","UG","4","SO","O174","B-","RE","henry.c.hill@fakeu.edu"
"37","933152485","Love","Allison","UG","4","SO","OTH8","C","RE","allison.i.love@fakeu.edu"
"38","207795516","Marshall","Violet","UG","4","JR","O104","C-","RE","violet.t.marshall@fakeu.edu"
"39","525978931","Williams","Ava","UG","4","SO","O243","C-","RE","ava.s.williams@fakeu.edu"
"40","663046710","Jones","Brayden","UG","4","FR","ABC1","A","RE","brayden.c.jones@fakeu.edu"
"41","464849666","Turner","Ava","UG","4","FR","OT35","C-","RE","ava.p.turner@fakeu.edu"
"42","665220821","West","Alexander","UG","4","FR","O277","B+","RE","alexander.m.west@fakeu.edu"
"43","807945585","Medina","Brayden","UG","4","FR","OT26","A","RE","brayden.e.medina@fakeu.edu"
"44","134851615","Tate","Andrea","UG","4","FR","OT13","B-","RE","andrea.q.tate@fakeu.edu"
"45","314984576","Green","Elias","UG","4","FR","OT35","B","RE","elias.i.green@fakeu.edu"
"46","756949534","Dominguez","Andrew","UG","4","SO","O205","D-","RE","andrew.a.dominguez@fakeu.edu"
"47","478005485","Davenport","Nathan","UG","4","SO","O232","A","RE","nathan.s.davenport@fakeu.edu"
"48","586406136","Knight","Luke","UG","4","FR","O174","A","RE","luke.a.knight@fakeu.edu"
"49","310940565","Petersen","Kevin","UG","4","SR","O223","D+","RE","kevin.m.petersen@fakeu.edu"
"50","509167555","Fletcher","Ashley","UG","4","SO","OT61","D+","RE","ashley.g.fletcher@fakeu.edu"
"51","893180157","Jones","Alexis","UG","4","SO","O225","D+","RE","alexis.l.jones@fakeu.edu"
"52","804702107","Davis","Aiden","UG","4","SO","OT35","B+","RE","aiden.m.davis@fakeu.edu"
"53","609418791","Harvey","Sophia","UG","4","SO","OT39","B","RE","sophia.j.harvey@fakeu.edu"
"54","402495040","Lee","Matthew","UG","4","SR","OT42","A-","RE","matthew.n.lee@fakeu.edu"
"55","484306644","White","Aiden","UG","4","SR","OT39","A","RE","aiden.a.white@fakeu.edu"
"56","396628473","Webster","Benjamin","UG","4","JR","DEF1","D-","RE","benjamin.w.webster@fakeu.edu"
"57","145833686","Jones","Ryan","UG","4","SO","DEF1","F","RE","ryan.a.jones1@fakeu.edu"
"58","105124916","Holcomb","Scarlett","UG","4","JR","DEF1","A","RE","scarlett.e.holcomb@fakeu.edu"
"59","644505266","Wilkinson","Noah","UG","4","SR","OT10","B+","RE","noah.l.wilkinson@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"82766","201201","ABC","105","7","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Adams, Sofia A.","Lecture","MWF","10:00 AM - 10:50 AM","LH3","58"
"","Discussion","R","12:10 PM - 1:00 PM","LH5","38"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","280294492","Johnson","Eduardo","UG","4","SO","DEF2","D+","RE","eduardo.j.johnson@fakeu.edu"
"2","843782011","Hart","Stephanie","UG","4","SO","DEF1","A","RE","stephanie.a.hart@fakeu.edu"
"3","971935715","Shepherd","Eric","UG","4","FR","ABC1","A+","RE","eric.m.shepherd@fakeu.edu"
"4","651551592","Stevens","Stella","UG","4","FR","DEF1","B+","RE","stella.c.stevens@fakeu.edu"
"5","601191753","Harvey","Alexis","UG","4","SO","ABC1","A+","RE","alexis.a.harvey@fakeu.edu"
"6","377801986","Harris","Liam","UG","4","FR","DEF1","A-","RE","liam.a.harris1@fakeu.edu"
"7","112011905","Wong","Audrey","UG","4","FR","DEF2","A","RE","audrey.n.wong@fakeu.edu"
"8","895518187","Jones","Jackson","UG","4","FR","DEF2","B+","RE","jackson.e.jones@fakeu.edu"
"9","477912846","Rodriguez","Charlotte","UG","4","JR","DEF1","A","RE","charlotte.r.rodriguez@fakeu.edu"
"10","512072637","Ferguson","Aubrey","UG","4","FR","ABC1","B+","RE","aubrey.m.ferguson@fakeu.edu"
"11","550637916","King","Aubrey","UG","4","FR","ABC2","A+","RE","aubrey.j.king@fakeu.edu"
"12","694757515","Malone","Bryan","UG","4","SO","DEF2","B+","RE","bryan.k.malone@fakeu.edu"
"13","628137432","Ramirez","Mason","UG","4","FR","ABC1","A","RE","mason.b.ramirez@fakeu.edu"
"14","323742733","Eaton","Delilah","UG","4","SO","ABC2","B+","RE","delilah.e.eaton@fakeu.edu"
"15","870783187","Thompson","Dominic","UG","4","FR","ABC1","C+","RE","dominic.a.thompson@fakeu.edu"
"16","309034754","Ryan","Valentina","UG","4","FR","DEF1","C+","RE","valentina.a.ryan@fakeu.edu"
"17","758930583","Reynolds","Ava","UG","4","FR","DEF2","B-","RE","ava.v.reynolds@fakeu.edu"
"18","916792119","Thompson","Sophie","UG","4","SO","DEF1","A","RE","sophie.b.thompson@fakeu.edu"
"19","684616352","Tucker","Anthony","UG","4","SO","DEF2","C","RE","anthony.j.tucker@fakeu.edu"
"20","781290984","Snow","Julian","UG","4","FR","DEF2","A","RE","julian.o.snow@fakeu.edu"
"21","197612173","Fleming","Stella","UG","4","SO","ABC1","A","RE","stella.j.fleming@fakeu.edu"
"22","830173151","Noble","Hailey","UG","4","SO","O232","B","RE","hailey.z.noble@fakeu.edu"
"23","781976015","Lawson","Jonathan","UG","4","JR","O277","A","RE","jonathan.l.lawson@fakeu.edu"
"24","900525962","Jordan","Zachary","UG","4","JR","O232","A","RE","zachary.j.jordan1@fakeu.edu"
"25","757242864","Ward","Jackson","UG","4","SO","O225","A+","RE","jackson.i.ward@fakeu.edu"
"26","556808687","Coleman","Mila","UG","4","SR","OTH7","A-","RE","mila.s.coleman@fakeu.edu"
"27","917479540","Rodriquez","Sophia","UG","4","SR","OTH7","B+","RE","sophia.c.rodriquez@fakeu.edu"
"28","467875992","Coffey","Avery","UG","4","SR","OT35","D","RE","avery.j.coffey@fakeu.edu"
"29","340712461","Johnston","Samuel","UG","4","SR","OTH8","B","RE","samuel.n.johnston@fakeu.edu"
"30","207340039","Campbell","David","UG","4","SR","O224","B+","RE","david.c.campbell@fakeu.edu"
"31","558674530","Carroll","Stella","UG","4","JR","O277","C","RE","stella.a.carroll@fakeu.edu"
"32","812047358","Reynolds","Valentina","UG","4","FR","O224","B-","RE","valentina.a.reynolds@fakeu.edu"
"33","358567976","Ramirez","Jocelyn","UG","4","SR","OT35","B-","RE","jocelyn.g.ramirez@fakeu.edu"
"34","298110955","Flowers","Justin","GR","4","GM","OT99","D+","RE","justin.l.flowers@fakeu.edu"
"35","341902471","Day","Michelle","UG","4","JR","O240","D","RE","michelle.v.day@fakeu.edu"
"36","533874642","Johnson","Liam","UG","4","JR","O223","F","RE","liam.j.johnson1@fakeu.edu"
"37","889776468","Flores","Olivia","UG","4","JR","O174","A-","RE","olivia.k.flores@fakeu.edu"
"38","270304587","Simmons","Justin","UG","4","SR","O240","C+","RE","justin.r.simmons@fakeu.edu"
"39","452586120","Price","Elias","UG","4","JR","O174","A-","RE","elias.j.price@fakeu.edu"
"40","560554664","Doyle","Delilah","UG","4","JR","OT93","A-","RE","delilah.n.doyle@fakeu.edu"
"41","249374100","Hopkins","Zachary","UG","4","JR","OTH8","B+","RE","zachary.f.hopkins@fakeu.edu"
"42","705320099","Rivers","Leah","UG","4","SO","O268","A+","RE","leah.m.rivers@fakeu.edu"
"43","517274102","Porter","Daniel","UG","4","JR","O277","A-","RE","daniel.h.porter@fakeu.edu"
"44","296351555","Jones","Christian","UG","4","JR","OTH6","F","RE","christian.p.jones@fakeu.edu"
"45","643080979","Smith","Anthony","UG","4","JR","O174","B","RE","anthony.k.smith1@fakeu.edu"
"46","981949162","Ferguson","Mason","UG","4","SO","OT39","A-","RE","mason.i.ferguson@fakeu.edu"
"47","204672367","Brown","William","UG","4","FR","O225","B","RE","william.a.brown1@fakeu.edu"
"48","708383956","Pearson","Miguel","UG","4","FR","OT39","B+","RE","miguel.m.pearson@fakeu.edu"
"49","103033799","Blankenship","Grace","UG","4","SO","OT35","F","RE","grace.c.blankenship@fakeu.edu"
"50","116383089","Baker","Jackson","UG","4","FR","OT39","C-","RE","jackson.s.baker@fakeu.edu"
"51","778088044","Snyder","Zachary","UG","4","JR","O225","A","RE","zachary.c.snyder@fakeu.edu"
"52","560677485","Robinson","Matthew","UG","4","FR","O223","A","RE","matthew.a.robinson@fakeu.edu"
"53","545858387","Mendoza","Christopher","UG","4","FR","OT20","A","RE","christopher.l.mendoza@fakeu.edu"
"54","261414285","Frye","Nathan","UG","4","JR","OT39","C","RE","nathan.q.frye@fakeu.edu"
"55","658763729","Moody","Luke","UG","4","FR","OT20","D","RE","luke.h.moody@fakeu.edu"
"56","544187139","Chapman","Alejandro","UG","4","SO","DEF1","D+","RE","alejandro.i.chapman@fakeu.edu"
"57","602461033","Page","Josiah","UG","4","SR","O224","A-","RE","josiah.d.page@fakeu.edu"
"58","559846398","Simpson","Benjamin","UG","4","SO","O238","F","RE","benjamin.n.simpson@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"57101","201201","ABC","106","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","11:00 AM - 11:50 AM","TB2","110"
"","Discussion","F","1:10 PM - 2:00 PM","LH1","66"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","504555061","Walker","Bella","UG","4","SO","ABC2","A+","RE","bella.b.walker@fakeu.edu"
"2","311312034","Hayes","Scarlett","UG","4","FR","DEF2","A","RE","scarlett.g.hayes@fakeu.edu"
"3","957926621","Lee","Angel","UG","4","SR","DEF1","A","RE","angel.i.lee@fakeu.edu"
"4","983600672","James","Ethan","UG","4","SR","ABC1","C-","RE","ethan.l.james@fakeu.edu"
"5","753612331","Vance","Jesse","UG","4","JR","ABC1","C-","RE","jesse.w.vance@fakeu.edu"
"6","354023683","Heath","Aiden","UG","4","JR","DEF1","B+","RE","aiden.o.heath@fakeu.edu"
"7","945023018","Spears","Robert","UG","4","SO","ABC1","D+","RE","robert.d.spears@fakeu.edu"
"8","415520646","Blake","Lucas","UG","4","SO","ABC2","A","RE","lucas.d.blake@fakeu.edu"
"9","676432393","Henson","Brianna","UG","4","SO","ABC1","B-","RE","brianna.b.henson@fakeu.edu"
"10","262627130","Johnson","Daniel","UG","4","SO","ABC1","A","RE","daniel.a.johnson2@fakeu.edu"
"11","145984504","Bailey","Daniel","UG","4","FR","ABC1","B+","RE","daniel.y.bailey@fakeu.edu"
"12","864611466","Gross","Eduardo","UG","4","FR","ABC2","A-","RE","eduardo.j.gross@fakeu.edu"
"13","811363443","Wood","Kaylee","UG","4","SO","ABC1","F","RE","kaylee.l.wood@fakeu.edu"
"14","408860078","Harris","Jordan","UG","4","FR","DEF2","F","RE","jordan.a.harris@fakeu.edu"
"15","347420342","Palmer","Carlos","UG","4","SO","ABC1","A-","RE","carlos.a.palmer@fakeu.edu"
"16","146086423","Kane","Ella","UG","4","FR","ABC2","B-","RE","ella.m.kane@fakeu.edu"
"17","109012058","Jones","Carlos","UG","4","SO","DEF2","A","RE","carlos.j.jones@fakeu.edu"
"18","677191305","Cohen","Jonathan","UG","4","SO","DEF2","A","RE","jonathan.i.cohen@fakeu.edu"
"19","639191367","Wall","Olivia","UG","4","FR","ABC1","B+","RE","olivia.m.wall@fakeu.edu"
"20","569631518","Reid","Nathan","UG","4","FR","ABC1","A","RE","nathan.c.reid@fakeu.edu"
"21","372746428","Davis","Jonathan","GR","4","GM","DEFG","C","RE","jonathan.g.davis@fakeu.edu"
"22","474567602","Moore","Jose","UG","4","JR","OT21","A","RE","jose.e.moore@fakeu.edu"
"23","120116071","Brown","Michelle","GR","4","GM","DEFG","F","RE","michelle.d.brown@fakeu.edu"
"24","747305645","Moore","Matthew","UG","4","SR","OTH7","C-","RE","matthew.j.moore@fakeu.edu"
"25","116381066","Houston","Ian","UG","4","JR","OT35","A","RE","ian.j.houston@fakeu.edu"
"26","993401495","Coleman","Gabriel","UG","4","SR","OT42","A","RE","gabriel.s.coleman@fakeu.edu"
"27","873742922","Gomez","Evelyn","UG","4","JR","ABC2","D-","RE","evelyn.s.gomez@fakeu.edu"
"28","849169536","Bradley","Sebastian","UG","4","JR","OTH7","C+","RE","sebastian.g.bradley@fakeu.edu"
"29","553687262","Randall","Jordan","UG","4","JR","O239","A-","RE","jordan.s.randall@fakeu.edu"
"30","958106642","Sargent","Elizabeth","UG","4","SO","O282","Y","RE","elizabeth.a.sargent@fakeu.edu"
"31","555611212","Montoya","Jesse","UG","4","JR","OT21","B","RE","jesse.e.montoya@fakeu.edu"
"32","605713822","Brown","Kaylee","UG","4","SO","OT35","B-","RE","kaylee.j.brown@fakeu.edu"
"33","215006304","Warren","Nicole","UG","4","FR","DEF2","B-","RE","nicole.g.warren@fakeu.edu"
"34","197726424","Graves","Joseph","UG","4","JR","OT40","C","RE","joseph.b.graves@fakeu.edu"
"35","218524522","Morales","Matthew","UG","4","SR","OT42","F","RE","matthew.h.morales@fakeu.edu"
"36","549947750","Patrick","Samantha","UG","4","JR","OT35","B+","RE","samantha.b.patrick@fakeu.edu"
"37","400205136","Hill","Ethan","UG","4","JR","ABC1","C+","RE","ethan.g.hill@fakeu.edu"
"38","824564939","Harvey","Jacob","UG","4","JR","OTH7","A","RE","jacob.k.harvey@fakeu.edu"
"39","523350750","Smith","Melissa","UG","4","JR","OTH8","F","RE","melissa.r.smith@fakeu.edu"
"40","428887742","Hooper","Noah","UG","4","SR","OTH7","F","RE","noah.d.hooper@fakeu.edu"
"41","672160631","Dominguez","Zachary","UG","4","JR","OT40","B+","RE","zachary.i.dominguez@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"32787","201201","ABC","106","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Discussion","M","8:00 AM - 8:50 AM","MB3","1062"
"","Lecture","MWF","11:00 AM - 11:50 AM","TB2","110"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","852164650","Rivera","Alejandro","UG","4","FR","ABC2","B+","RE","alejandro.m.rivera@fakeu.edu"
"2","149959631","Davis","Victoria","UG","4","FR","ABC2","A","RE","victoria.s.davis@fakeu.edu"
"3","913021448","Roberts","Genesis","UG","4","JR","OT67","F","RE","genesis.a.roberts@fakeu.edu"
"4","538955822","Keller","Dominic","UG","4","SR","OT39","C","RE","dominic.a.keller@fakeu.edu"
"5","406718474","Williams","Nathan","UG","4","JR","O244","D","RE","nathan.n.williams@fakeu.edu"
"6","722651097","Carter","Sophia","UG","4","JR","ABC1","B","RE","sophia.d.carter@fakeu.edu"
"7","990426296","Welch","Matthew","UG","4","SO","OT20","C-","RE","matthew.a.welch@fakeu.edu"
"8","783022922","Cook","Liam","UG","4","SO","ABC2","B+","RE","liam.d.cook@fakeu.edu"
