"46","879902994","Barker","Jayden","UG","4","SO","OT61","F","RE","jayden.a.barker@fakeu.edu"
"47","492989825","Johnson","Valeria","UG","4","SR","O229","D+","RE","valeria.c.johnson@fakeu.edu"
"48","288675560","Huff","Ethan","UG","4","FR","DEF2","B","RE","ethan.a.huff@fakeu.edu"
"49","577130792","Jordan","Brandon","UG","4","FR","DEF2","B","RE","brandon.j.jordan1@fakeu.edu"
"50","200424187","Craig","Jayden","UG","4","JR","O103","C","RE","jayden.m.craig@fakeu.edu"
"51","162305918","Lewis","Victor","UG","4","FR","O223","A-","RE","victor.l.lewis@fakeu.edu"
"52","841702199","Henson","Layla","UG","4","SO","DEF1","C","RE","layla.s.henson@fakeu.edu"
"53","175858446","White","Angela","UG","4","SO","O283","A+","RE","angela.g.white@fakeu.edu"
"54","813941371","Davenport","Oliver","UG","4","SO","OTH8","A","RE","oliver.e.davenport@fakeu.edu"
"55","164062532","Johnston","Mia","UG","4","JR","O108","C","RE","mia.a.johnston@fakeu.edu"
"56","658763729","Moody","Luke","UG","4","FR","OT20","C","RE","luke.h.moody@fakeu.edu"
"57","502039576","Graham","Liam","UG","4","JR","OTH6","A-","RE","liam.x.graham@fakeu.edu"
"58","408409447","Vega","Isabel","UG","4","FR","OTH8","B+","RE","isabel.a.vega@fakeu.edu"
"59","898226649","Olsen","Olivia","UG","4","SR","O174","A","RE","olivia.t.olsen@fakeu.edu"
"60","764557008","Richardson","Lucas","UG","4","JR","OTH8","F","RE","lucas.j.richardson@fakeu.edu"
"61","845732648","Hester","Matthew","UG","4","SO","O277","D","RE","matthew.j.hester@fakeu.edu"
"62","385359693","Peterson","Brooklyn","UG","4","SO","O283","A","RE","brooklyn.v.peterson@fakeu.edu"
"63","397684918","Chavez","Anthony","UG","4","FR","ABC1","B","RE","anthony.a.chavez@fakeu.edu"
"64","961874101","Schultz","Sophia","UG","4","JR","OTH8","F","RE","sophia.l.schultz@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"72614","201203","ABC","105","5","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Williams, Victoria M.","Lecture","MWF","10:00 AM - 10:50 AM","LH3","58"
"","Discussion","M","2:10 PM - 3:00 PM","MB1","1030"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","650870247","Vargas","Jayden","UG","4","FR","DEF1","B-","RE","jayden.l.vargas@fakeu.edu"
"2","997728885","Jones","Jacob","UG","4","JR","DEF1","F","RE","jacob.v.jones1@fakeu.edu"
"3","179557854","Bradford","Joshua","UG","4","JR","ABC1","F","RE","joshua.m.bradford@fakeu.edu"
"4","146057562","Gordon","Kevin","UG","4","SO","ABC2","F","RE","kevin.a.gordon@fakeu.edu"
"5","712333187","Moore","Grace","UG","4","SO","ABC1","A+","RE","grace.m.moore@fakeu.edu"
"6","950094440","Cardenas","Anthony","UG","4","SO","DEF1","B","RE","anthony.n.cardenas@fakeu.edu"
"7","400466400","Bryant","Genesis","UG","4","FR","DEF1","A","RE","genesis.k.bryant@fakeu.edu"
"8","807000029","Brown","Noah","UG","4","JR","DEF1","A+","RE","noah.a.brown1@fakeu.edu"
"9","146458627","Wallace","James","UG","4","SR","OT39","C-","RE","james.m.wallace@fakeu.edu"
"10","885059293","Jones","Zachary","UG","4","SO","OT39","B-","RE","zachary.i.jones@fakeu.edu"
"11","510342505","Foster","David","UG","4","SR","OTH8","A+","RE","david.s.foster@fakeu.edu"
"12","823122087","Woodard","Lucas","UG","4","SR","OT62","A+","RE","lucas.s.woodard@fakeu.edu"
"13","435683378","Martinez","Layla","UG","4","SR","O239","A-","RE","layla.j.martinez@fakeu.edu"
"14","926936020","Johnson","John","UG","4","SR","OT62","B+","RE","john.a.johnson@fakeu.edu"
"15","604173217","Clark","Kevin","UG","4","SO","O240","A-","RE","kevin.m.clark@fakeu.edu"
"16","442581236","Parker","Jayden","UG","4","SR","OT60","A+","RE","jayden.s.parker@fakeu.edu"
"17","829043584","Mccoy","Adrian","UG","4","SR","OT40","A","RE","adrian.k.mccoy@fakeu.edu"
"18","568826277","Snyder","Adrian","UG","4","SR","O268","A","RE","adrian.l.snyder@fakeu.edu"
"19","938064369","Ferguson","Jayden","UG","4","SR","O160","A-","RE","jayden.m.ferguson@fakeu.edu"
"20","853714296","Lewis","Liam","UG","4","SR","O160","B+","RE","liam.a.lewis@fakeu.edu"
"21","566177469","Jackson","Eric","UG","4","SR","O135","A+","RE","eric.i.jackson@fakeu.edu"
"22","422519210","Reed","Isabella","UG","4","SR","O282","F","RE","isabella.l.reed@fakeu.edu"
"23","876863594","Lopez","Sarah","UG","4","JR","O223","A-","RE","sarah.s.lopez@fakeu.edu"
"24","810457169","Lopez","Andrew","UG","4","JR","OT39","B+","RE","andrew.j.lopez@fakeu.edu"
"25","232003883","Small","Zoey","UG","4","SR","O223","C","RE","zoey.n.small@fakeu.edu"
"26","241944032","Barry","Emily","UG","4","JR","O257","Y","RE","emily.c.barry@fakeu.edu"
"27","456192654","Williams","Alexander","UG","4","JR","DEF1","A","RE","alexander.n.williams@fakeu.edu"
"28","948217004","Holmes","Sophia","UG","4","JR","O223","A+","RE","sophia.a.holmes@fakeu.edu"
"29","713829808","Martin","Chloe","UG","4","JR","OTH7","A+","RE","chloe.a.martin@fakeu.edu"
"30","749390133","Smith","Genesis","UG","4","JR","OTH8","C+","RE","genesis.m.smith@fakeu.edu"
"31","427489928","Blake","Ian","UG","4","SO","OT21","A","RE","ian.j.blake@fakeu.edu"
"32","710053830","Meyer","Tyler","UG","4","SO","O180","B","RE","tyler.m.meyer@fakeu.edu"
"33","177297300","Mclean","Amy","UG","4","SO","O174","A","RE","amy.j.mclean@fakeu.edu"
"34","573667836","Pittman","Jasmine","UG","4","SO","OT26","D+","RE","jasmine.d.pittman@fakeu.edu"
"35","328920088","O'brien","Eric","UG","4","JR","OT60","D","RE","eric.o.o'brien@fakeu.edu"
"36","360727637","Davis","Michael","UG","4","SO","OT39","A+","RE","michael.o.davis@fakeu.edu"
"37","595100724","Hall","Emma","UG","4","FR","OT16","B+","RE","emma.i.hall@fakeu.edu"
"38","296652390","Walker","Michael","UG","4","SO","OT42","D+","RE","michael.a.walker@fakeu.edu"
"39","755153000","Stephens","Adrian","UG","4","FR","OT39","A+","RE","adrian.a.stephens@fakeu.edu"
"40","892251103","Banks","Angel","UG","4","FR","OT16","F","RE","angel.a.banks@fakeu.edu"
"41","394157057","Cook","Mateo","UG","4","FR","OT16","A-","RE","mateo.c.cook@fakeu.edu"
"42","784360084","Garcia","Oliver","UG","4","FR","OT39","A-","RE","oliver.j.garcia1@fakeu.edu"
"43","360937211","Garcia","Isaac","UG","4","SO","O232","A-","RE","isaac.a.garcia@fakeu.edu"
"44","559846398","Simpson","Benjamin","UG","4","SO","O238","B","RE","benjamin.n.simpson@fakeu.edu"
"45","119352385","Johnson","Adrian","UG","4","FR","OT35","D","RE","adrian.r.johnson@fakeu.edu"
"46","686882319","Rodriguez","Justin","UG","4","FR","O223","A","RE","justin.z.rodriguez@fakeu.edu"
"47","998464583","Jefferson","Josiah","UG","4","SO","O174","B+","RE","josiah.z.jefferson@fakeu.edu"
"48","928046683","Swanson","Audrey","UG","4","FR","OT26","A-","RE","audrey.e.swanson@fakeu.edu"
"49","558725209","Miller","Riley","UG","4","SO","O174","B+","RE","riley.l.miller@fakeu.edu"
"50","158328457","Gordon","Julia","UG","4","SR","OT62","B+","RE","julia.g.gordon@fakeu.edu"
"51","854279042","Howard","Layla","UG","4","SO","O238","A","RE","layla.v.howard@fakeu.edu"
"52","756949534","Dominguez","Andrew","UG","4","JR","O205","F","RE","andrew.a.dominguez@fakeu.edu"
"53","111067760","Smith","Charlotte","UG","4","SO","OTH8","B","RE","charlotte.a.smith1@fakeu.edu"
"54","851171770","Bowen","Miguel","UG","4","JR","O224","C","RE","miguel.c.bowen@fakeu.edu"
"55","359278761","Gardner","Juan","UG","4","JR","OT55","B+","RE","juan.h.gardner@fakeu.edu"
"56","785673917","Davis","Mason","UG","4","JR","OTH8","A","RE","mason.e.davis@fakeu.edu"
"57","664326526","Potter","Isabella","UG","4","FR","ABC1","A","RE","isabella.a.potter@fakeu.edu"
"58","705847370","Patterson","Ella","UG","4","SO","OTH8","A+","RE","ella.i.patterson@fakeu.edu"
"59","834200252","Rogers","Eric","UG","4","SR","OT42","A+","RE","eric.h.rogers@fakeu.edu"
"60","666866245","Moore","Anthony","ND","4","ND","O253","A+","RE","anthony.e.moore1@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"10287","201203","ABC","105","6","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Williams, Victoria M.","Lecture","MWF","10:00 AM - 10:50 AM","LH3","58"
"","Discussion","T","5:10 PM - 6:00 PM","TB3","167"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","507273374","Black","Ashley","UG","4","SO","DEF1","C+","RE","ashley.n.black@fakeu.edu"
"2","905015937","Farmer","Jayden","UG","4","FR","DEF1","B","RE","jayden.y.farmer@fakeu.edu"
"3","181942568","Santiago","Sarah","UG","4","JR","DEF2","A","RE","sarah.d.santiago@fakeu.edu"
"4","720193524","Burke","Zoe","UG","4","SO","DEF1","C-","RE","zoe.a.burke@fakeu.edu"
"5","986675738","Glover","Jason","UG","4","SO","OT42","A+","RE","jason.j.glover@fakeu.edu"
"6","253220478","Hall","Melissa","UG","4","SO","OTH7","A+","RE","melissa.a.hall@fakeu.edu"
"7","992698755","Chavez","Wyatt","UG","4","FR","OT21","B+","RE","wyatt.g.chavez@fakeu.edu"
"8","664309389","Richards","Ethan","UG","4","SR","OT62","A","RE","ethan.i.richards@fakeu.edu"
"9","631147682","Hamilton","Alex","UG","4","SR","O174","A+","RE","alex.r.hamilton@fakeu.edu"
"10","815821209","Jones","Isabella","UG","4","JR","OT35","A-","RE","isabella.m.jones@fakeu.edu"
"11","847821341","Matthews","Matthew","UG","4","JR","OT35","B","RE","matthew.a.matthews@fakeu.edu"
"12","972424036","Wilkins","Jayden","UG","4","JR","OT39","A+","RE","jayden.b.wilkins@fakeu.edu"
"13","244935068","Cortez","Victoria","UG","4","JR","OT68","A-","RE","victoria.e.cortez@fakeu.edu"
"14","103861594","Garcia","Ashley","UG","4","JR","OT60","A","RE","ashley.a.garcia@fakeu.edu"
"15","603774957","Calderon","Samuel","UG","4","JR","OT42","C+","RE","samuel.a.calderon@fakeu.edu"
"16","809558603","Jennings","Benjamin","UG","4","JR","O174","A","RE","benjamin.d.jennings@fakeu.edu"
"17","244905648","Castillo","Noah","UG","4","SO","OT35","A+","RE","noah.j.castillo@fakeu.edu"
"18","555377637","Owen","Benjamin","UG","4","SO","O223","A","RE","benjamin.j.owen@fakeu.edu"
"19","224923253","Hall","Jocelyn","UG","4","SO","OT64","A+","RE","jocelyn.r.hall@fakeu.edu"
"20","527059623","Jones","Adrian","UG","4","SO","OT35","A","RE","adrian.a.jones@fakeu.edu"
"21","396911252","Mercer","Aiden","UG","4","SO","OT48","A","RE","aiden.l.mercer@fakeu.edu"
"22","843795887","Dixon","Isabella","UG","4","JR","OT39","A","RE","isabella.e.dixon@fakeu.edu"
"23","712655037","Carter","Joseph","UG","4","JR","O223","C+","RE","joseph.a.carter@fakeu.edu"
"24","703647033","Santos","Elizabeth","UG","4","SO","OT93","B","RE","elizabeth.i.santos@fakeu.edu"
"25","701113289","Brock","Diego","UG","4","SO","OT42","A+","RE","diego.s.brock@fakeu.edu"
"26","784306880","Jones","Alexander","UG","4","SO","OT35","A-","RE","alexander.s.jones@fakeu.edu"
"27","342472101","Murphy","Kayla","UG","4","JR","O224","A","RE","kayla.j.murphy@fakeu.edu"
"28","895667570","Poole","Justin","UG","4","SO","OT21","A","RE","justin.z.poole@fakeu.edu"
"29","728612446","Townsend","Robert","UG","4","FR","OT64","B-","RE","robert.a.townsend@fakeu.edu"
"30","951011904","Vaughn","Thomas","UG","4","SO","O223","A+","RE","thomas.n.vaughn@fakeu.edu"
"31","730682651","Flowers","Ruby","UG","4","SO","OTH8","B+","RE","ruby.i.flowers@fakeu.edu"
"32","978028536","Hensley","David","UG","4","FR","O282","B+","RE","david.f.hensley@fakeu.edu"
"33","364534892","Jackson","Abigail","UG","4","SO","O278","A-","RE","abigail.a.jackson@fakeu.edu"
"34","290556923","Horn","Ashley","UG","4","FR","O225","B+","RE","ashley.a.horn@fakeu.edu"
"35","168385962","Taylor","Alejandro","UG","4","FR","OT39","B+","RE","alejandro.s.taylor@fakeu.edu"
"36","991690610","Lee","Camila","UG","4","SO","OT20","C-","RE","camila.j.lee@fakeu.edu"
"37","503153840","Smith","Austin","UG","4","FR","OT39","A","RE","austin.d.smith@fakeu.edu"
"38","214364253","Ballard","Nathaniel","UG","4","SO","O103","Y","RE","nathaniel.l.ballard@fakeu.edu"
"39","952485486","Watts","Lucas","UG","4","SO","DEF1","A","RE","lucas.e.watts@fakeu.edu"
"40","461584294","Guthrie","Gianna","UG","4","SO","OT39","B+","RE","gianna.c.guthrie@fakeu.edu"
"41","489180958","Thomas","Sebastian","UG","4","FR","OT16","A+","RE","sebastian.b.thomas@fakeu.edu"
"42","411393562","Gonzalez","Mason","UG","4","SO","O174","A+","RE","mason.v.gonzalez1@fakeu.edu"
"43","278468814","Brooks","Damian","UG","4","FR","OT39","C-","RE","damian.g.brooks@fakeu.edu"
"44","142783500","Salinas","Adrian","UG","4","FR","OT21","B-","RE","adrian.h.salinas@fakeu.edu"
"45","558961230","Walsh","Christopher","UG","4","FR","OTH8","A","RE","christopher.j.walsh1@fakeu.edu"
"46","756380486","Mccoy","Eduardo","UG","4","FR","O224","A+","RE","eduardo.n.mccoy@fakeu.edu"
"47","105250141","Brown","Logan","UG","4","SO","OT35","A","RE","logan.j.brown1@fakeu.edu"
"48","489933602","Valentine","Emma","UG","4","SO","OT54","A","RE","emma.s.valentine@fakeu.edu"
"49","384996622","Williams","Ella","UG","4","FR","OT26","B+","RE","ella.e.williams@fakeu.edu"
"50","438573895","Bailey","Isaac","UG","4","SO","OT39","A+","RE","isaac.o.bailey@fakeu.edu"
"51","787199876","Clark","Daniel","UG","4","SO","O239","A","RE","daniel.t.clark@fakeu.edu"
"52","107089751","Wright","Nicholas","UG","4","SO","OT16","D+","RE","nicholas.a.wright1@fakeu.edu"
"53","626606191","Ferguson","Emily","UG","4","FR","O240","A-","RE","emily.i.ferguson@fakeu.edu"
"54","899641007","Lyons","Samuel","UG","4","SO","OT39","Y","RE","samuel.n.lyons@fakeu.edu"
"55","327999048","Blanchard","Aaron","UG","4","FR","OTH8","A-","RE","aaron.h.blanchard@fakeu.edu"
"56","826270669","Green","Justin","UG","4","FR","DEF1","A","RE","justin.v.green@fakeu.edu"
"57","115448686","Ford","Alex","UG","4","FR","OT35","Y","RE","alex.j.ford@fakeu.edu"
"58","792366095","Allison","Ayden","UG","4","FR","OT16","A","RE","ayden.m.allison@fakeu.edu"
"59","580415461","Moon","Jacob","UG","4","SO","OT68","A+","RE","jacob.h.moon@fakeu.edu"
"60","828905704","Short","Ella","UG","4","SO","OT35","A+","RE","ella.m.short@fakeu.edu"
"61","227125716","Little","Sofia","UG","4","FR","OT20","D+","RE","sofia.c.little@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"51005","201203","ABC","106","1","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","9:00 AM - 9:50 AM","TB2","110"
"","Discussion","W","4:10 PM - 5:00 PM","LH5","2"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","168156104","Smith","Jayden","UG","4","SO","ABC2","A-","RE","jayden.m.smith@fakeu.edu"
"2","108707829","Huffman","Jacob","UG","4","SO","DEF1","A-","RE","jacob.s.huffman@fakeu.edu"
"3","337988807","Walker","Isabella","UG","4","JR","ABC2","A-","RE","isabella.v.walker@fakeu.edu"
"4","952582507","Ramirez","Elias","UG","4","JR","ABC1","B+","RE","elias.s.ramirez@fakeu.edu"
"5","601191753","Harvey","Alexis","UG","4","SO","ABC1","A","RE","alexis.a.harvey@fakeu.edu"
"6","919405468","Nichols","Jacob","UG","4","SO","ABC2","B","RE","jacob.a.nichols@fakeu.edu"
"7","185410560","Mcdonald","Harper","UG","4","SO","ABC1","Y","RE","harper.b.mcdonald@fakeu.edu"
"8","318462113","Hancock","Jocelyn","UG","4","SO","OT40","F","RE","jocelyn.j.hancock@fakeu.edu"
"9","999469472","Ford","Natalie","UG","4","FR","ABC1","F","RE","natalie.j.ford1@fakeu.edu"
"10","243650836","Lucas","Leonardo","UG","4","SO","ABC2","B","RE","leonardo.g.lucas@fakeu.edu"
"11","714850212","Lyons","Mateo","UG","4","SO","DEF2","Y","RE","mateo.h.lyons@fakeu.edu"
"12","674136277","Clayton","Samantha","UG","4","SO","DEF2","A","RE","samantha.j.clayton@fakeu.edu"
"13","705198767","Jones","Ximena","UG","4","SO","DEF2","B","RE","ximena.b.jones@fakeu.edu"
"14","244748225","Wright","James","UG","4","SO","ABC2","B","RE","james.r.wright@fakeu.edu"
"15","512072637","Ferguson","Aubrey","UG","4","FR","ABC1","B+","RE","aubrey.m.ferguson@fakeu.edu"
"16","445136855","Morales","Grace","UG","4","SR","O225","B-","RE","grace.a.morales@fakeu.edu"
"17","207340039","Campbell","David","UG","4","SR","O224","F","RE","david.c.campbell@fakeu.edu"
"18","917479540","Rodriquez","Sophia","UG","4","SR","OTH7","B-","RE","sophia.c.rodriquez@fakeu.edu"
"19","104836988","Peterson","Elizabeth","UG","4","JR","OT42","B-","RE","elizabeth.c.peterson@fakeu.edu"
"20","762797285","Perez","Miguel","UG","4","SO","OT40","D+","RE","miguel.e.perez1@fakeu.edu"
"21","915797326","Smith","Nicole","UG","4","SO","OT35","Y","RE","nicole.a.smith1@fakeu.edu"
"22","215261809","Harris","Diego","UG","4","FR","O174","C","RE","diego.j.harris1@fakeu.edu"
"23","658454981","Lopez","Jayden","UG","4","SO","O232","A-","RE","jayden.n.lopez@fakeu.edu"
"24","366179741","Sims","Ximena","UG","4","JR","O225","F","RE","ximena.r.sims@fakeu.edu"
"25","105124916","Holcomb","Scarlett","UG","4","SR","DEF1","B+","RE","scarlett.e.holcomb@fakeu.edu"
"26","287871407","Kelly","Zachary","UG","4","SO","OT26","F","RE","zachary.a.kelly@fakeu.edu"
"27","872233302","Garcia","Sofia","UG","4","SO","OT68","F","RE","sofia.d.garcia@fakeu.edu"
"28","578323156","Sweet","Naomi","UG","4","FR","ABC2","F","RE","naomi.a.sweet@fakeu.edu"
"29","628545735","Strickland","Aubrey","UG","4","SO","DEF1","A-","RE","aubrey.n.strickland@fakeu.edu"
"30","708144678","Schneider","Tyler","UG","4","SR","DEF1","B+","RE","tyler.g.schneider@fakeu.edu"
"31","675667803","Chan","Ryan","UG","4","SO","DEF2","F","RE","ryan.j.chan@fakeu.edu"
"32","685983421","Lee","Isabel","GR","4","GM","ABCG","A","RE","isabel.o.lee@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"40085","201203","ABC","106","2","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","9:00 AM - 9:50 AM","TB2","110"
"","Discussion","M","4:10 PM - 5:00 PM","LH5","47"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","865602926","Wise","Amelia","UG","4","JR","ABC1","B","RE","amelia.a.wise@fakeu.edu"
"2","995879056","Williams","Daniel","UG","4","SO","ABC1","A","RE","daniel.a.williams1@fakeu.edu"
"3","105135648","Crawford","Valerie","UG","4","SO","ABC2","A","RE","valerie.q.crawford@fakeu.edu"
"4","543597087","Jackson","Eli","UG","4","JR","DEF1","A","RE","eli.j.jackson@fakeu.edu"
"5","444558188","Thomas","Ryan","UG","4","JR","OT42","C+","RE","ryan.e.thomas@fakeu.edu"
"6","781658574","Franco","William","UG","4","JR","O174","B+","RE","william.d.franco@fakeu.edu"
"7","560554664","Doyle","Delilah","UG","4","JR","OT93","C+","RE","delilah.n.doyle@fakeu.edu"
"8","286632251","Davis","Christian","UG","4","SO","OT62","B+","RE","christian.m.davis@fakeu.edu"
"9","847907428","Kent","Nicholas","UG","4","JR","O224","F","RE","nicholas.n.kent@fakeu.edu"
"10","965528695","Brown","Gavin","UG","4","SO","O223","A","RE","gavin.n.brown@fakeu.edu"
"11","394215118","Long","Julian","UG","4","SO","DEF1","A","RE","julian.a.long@fakeu.edu"
"12","620024318","Berry","Gabriella","UG","4","FR","O282","C+","RE","gabriella.c.berry@fakeu.edu"
"13","571512000","Nelson","Carlos","UG","4","SO","OT35","A","RE","carlos.c.nelson@fakeu.edu"
"14","698937469","Smith","Jesse","UG","4","SO","O181","A","RE","jesse.i.smith@fakeu.edu"
"15","849020388","Harrison","Sophia","UG","4","FR","O239","C+","RE","sophia.l.harrison@fakeu.edu"
"16","199924376","Jordan","Jesus","UG","4","SO","OT20","B+","RE","jesus.a.jordan@fakeu.edu"
"17","615317742","Smith","Adrian","UG","4","FR","OT20","A","RE","adrian.l.smith@fakeu.edu"
"18","481047801","Reid","Dylan","UG","4","SO","ABC2","B-","RE","dylan.m.reid@fakeu.edu"
"19","209951321","Coleman","Jayden","UG","4","SO","OTH7","A","RE","jayden.a.coleman2@fakeu.edu"
"20","855889787","Hardin","Brianna","UG","4","FR","OT31","B+","RE","brianna.e.hardin@fakeu.edu"
"21","614286481","Rodriguez","Gianna","UG","4","SO","DEF1","B-","RE","gianna.l.rodriguez@fakeu.edu"
"22","285914125","Pittman","Noah","UG","4","FR","OTH6","Y","RE","noah.a.pittman@fakeu.edu"
"23","849281076","Torres","Robert","GR","4","GM","ABCG","A","RE","robert.c.torres@fakeu.edu"
"24","154776704","Peters","Ryan","UG","4","SO","OT49","B","RE","ryan.c.peters@fakeu.edu"
"25","810794842","Boyd","Abigail","UG","4","SO","O223","A","RE","abigail.i.boyd@fakeu.edu"
"26","258403587","Webster","Hannah","UG","4","SO","DEF1","B+","RE","hannah.d.webster@fakeu.edu"
"27","352834817","Gray","Ivan","UG","4","JR","ABC1","B","RE","ivan.b.gray@fakeu.edu"
"28","310940565","Petersen","Kevin","UG","4","SR","O223","F","RE","kevin.m.petersen@fakeu.edu"
"29","188151175","Hill","Violet","UG","4","JR","DEF1","B-","RE","violet.l.hill@fakeu.edu"
"30","335600342","Lopez","Henry","UG","4","JR","OT35","B","RE","henry.a.lopez@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"86323","201203","ABC","106","3","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","9:00 AM - 9:50 AM","TB2","110"
"","Discussion","T","6:10 PM - 7:00 PM","LH5","2"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","105354745","Collins","Addison","UG","4","SO","DEF1","A","RE","addison.d.collins@fakeu.edu"
"2","381011907","Moss","Victor","UG","4","SO","DEF2","A","RE","victor.n.moss@fakeu.edu"
"3","181758572","Ford","Angel","UG","4","JR","DEF1","A-","RE","angel.m.ford@fakeu.edu"
"4","749547188","Smith","Gael","UG","4","FR","ABC2","B","RE","gael.z.smith@fakeu.edu"
"5","588940069","Clark","Christian","UG","4","FR","DEF2","B","RE","christian.g.clark@fakeu.edu"
"6","112011905","Wong","Audrey","UG","4","SO","DEF2","A","RE","audrey.n.wong@fakeu.edu"
"7","971935715","Shepherd","Eric","UG","4","SO","ABC1","A","RE","eric.m.shepherd@fakeu.edu"
"8","158038515","Burns","Mia","UG","4","FR","ABC1","F","RE","mia.j.burns@fakeu.edu"
"9","900525962","Jordan","Zachary","UG","4","JR","O232","A","RE","zachary.j.jordan1@fakeu.edu"
"10","286532873","Morgan","Aubrey","UG","4","SR","OT42","A","RE","aubrey.j.morgan@fakeu.edu"
"11","830173151","Noble","Hailey","UG","4","JR","O232","A-","RE","hailey.z.noble@fakeu.edu"
"12","267184839","Roberts","Jonathan","UG","4","SR","O238","F","RE","jonathan.i.roberts@fakeu.edu"
"13","575821533","Hicks","Christopher","UG","4","JR","O174","A","RE","christopher.b.hicks@fakeu.edu"
"14","873948495","Brown","Genesis","UG","4","JR","O223","A","RE","genesis.n.brown@fakeu.edu"
"15","635188394","May","Steven","UG","4","SR","OT42","C-","RE","steven.e.may@fakeu.edu"
"16","434513558","Anderson","Angelina","UG","4","SO","OT26","B","RE","angelina.a.anderson1@fakeu.edu"
"17","821277086","Adams","Aaron","UG","4","SO","OTH8","F","RE","aaron.s.adams@fakeu.edu"
"18","778088044","Snyder","Zachary","UG","4","JR","O225","A","RE","zachary.c.snyder@fakeu.edu"
"19","691597002","Lewis","Natalie","UG","4","JR","O257","F","RE","natalie.n.lewis@fakeu.edu"
"20","846186074","Wright","Savannah","UG","4","FR","OT21","A","RE","savannah.j.wright@fakeu.edu"
"21","333333340","Smith","Elizabeth","UG","4","FR","DEF1","A+","RE","elizabeth.v.smith@fakeu.edu"
"22","179611076","Gibson","Daniel","UG","4","FR","OT10","C+","RE","daniel.a.gibson@fakeu.edu"
"23","942315820","Boyle","Jacob","UG","4","SO","ABC1","D","RE","jacob.q.boyle@fakeu.edu"
"24","489056508","Bradshaw","Dylan","UG","4","SO","OT39","A","RE","dylan.i.bradshaw@fakeu.edu"
"25","543729275","Kelly","Elijah","UG","4","FR","DEF2","A","RE","elijah.q.kelly@fakeu.edu"
"26","586406136","Knight","Luke","UG","4","FR","O174","A-","RE","luke.a.knight@fakeu.edu"
"27","415916483","Smith","Gabriel","UG","4","FR","OT93","B","RE","gabriel.j.smith1@fakeu.edu"
"28","771442271","Moses","Aaron","UG","4","FR","OT35","A","RE","aaron.a.moses@fakeu.edu"
"29","400081575","Sandoval","Jordan","UG","4","SO","ABC1","B-","RE","jordan.d.sandoval@fakeu.edu"
"30","267307747","Ryan","Jesus","UG","4","SO","OT39","A-","RE","jesus.v.ryan@fakeu.edu"
"31","182444087","Bennett","Austin","UG","4","SO","ABC2","C","RE","austin.d.bennett@fakeu.edu"
"32","699421421","Morgan","Wyatt","UG","4","SO","ABC1","B","RE","wyatt.z.morgan@fakeu.edu"
"33","956534880","Clark","Ethan","UG","4","JR","OT93","B-","RE","ethan.c.clark@fakeu.edu"
"34","408860078","Harris","Jordan","UG","4","FR","DEF2","F","RE","jordan.a.harris@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"63090","201203","ABC","106","4","4"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Diaz, Michelle H.","Lecture","MWF","9:00 AM - 9:50 AM","TB2","110"
"","Discussion","F","2:10 PM - 3:00 PM","LH5","2"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","663046710","Jones","Brayden","UG","4","SO","ABC1","A","RE","brayden.c.jones@fakeu.edu"
"2","847632501","Brown","Dylan","UG","4","SO","DEF2","F","RE","dylan.e.brown@fakeu.edu"
"3","466807526","Burns","Dominic","UG","4","FR","ABC2","A","RE","dominic.e.burns@fakeu.edu"
"4","993136306","Lucas","Olivia","UG","4","FR","ABC1","C+","RE","olivia.v.lucas@fakeu.edu"
